cell,hexagon_geometry,entity_id,city_name,city_id,orders,scraping_point_hex_centroid,zone_name,longitude,latitude
5543,"POLYGON ((7278184.476954276 20395368.847458333, 7278434.476954276 20394935.83475644, 7278184.476954276 20394502.82205455, 7277684.476954276 20394502.82205455, 7277434.476954276 20394935.83475644, 7277684.476954276 20395368.847458333, 7278184.476954276 20395368.847458333))",EF_GR,Athens,1,1326.0,POINT (7277934.476954277 20394935.83475644),"['Voreios_1', 'Voreios_2']",7277934.476954277,20394935.83475644
9574,"POLYGON ((7293184.476954276 20385842.568016723, 7293434.476954276 20385409.55531483, 7293184.476954276 20384976.54261294, 7292684.476954276 20384976.54261294, 7292434.476954276 20385409.55531483, 7292684.476954276 20385842.568016723, 7293184.476954276 20385842.568016723))",EF_GR,Athens,1,1246.0,POINT (7292934.476954277 20385409.555314835),,7292934.476954277,20385409.555314835
6364,"POLYGON ((7281184.476954276 20380646.415594026, 7281434.476954276 20380213.402892135, 7281184.476954276 20379780.390190244, 7280684.476954276 20379780.390190244, 7280434.476954276 20380213.402892135, 7280684.476954276 20380646.415594026, 7281184.476954276 20380646.415594026))",EF_GR,Athens,1,1082.0,POINT (7280934.476954275 20380213.402892135),"['Ditika', 'Central athens']",7280934.476954275,20380213.402892135
7763,"POLYGON ((7286434.476954276 20387141.606122397, 7286684.476954276 20386708.593420506, 7286434.476954276 20386275.580718614, 7285934.476954276 20386275.580718614, 7285684.476954276 20386708.593420506, 7285934.476954276 20387141.606122397, 7286434.476954276 20387141.606122397))",EF_GR,Athens,1,3384.0,POINT (7286184.476954278 20386708.593420506),"['Central athens', 'Notioditika']",7286184.476954278,20386708.593420506
3129,"POLYGON ((7269184.476954276 20397100.8982659, 7269434.476954276 20396667.885564007, 7269184.476954276 20396234.872862116, 7268684.476954276 20396234.872862116, 7268434.476954276 20396667.885564007, 7268684.476954276 20397100.8982659, 7269184.476954276 20397100.8982659))",EF_GR,Athens,1,801.0,POINT (7268934.476954278 20396667.885564007),"['Voreios_2', 'Voreioditika']",7268934.476954278,20396667.885564007
4141,"POLYGON ((7272934.476954276 20390605.707737528, 7273184.476954276 20390172.695035636, 7272934.476954276 20389739.682333745, 7272434.476954276 20389739.682333745, 7272184.476954276 20390172.695035636, 7272434.476954276 20390605.707737528, 7272934.476954276 20390605.707737528))",EF_GR,Athens,1,938.0,POINT (7272684.476954277 20390172.695035636),"['Voreios_1', 'Voreioditika']",7272684.476954277,20390172.695035636
8380,"POLYGON ((7288684.476954276 20375450.26317133, 7288934.476954276 20375017.25046944, 7288684.476954276 20374584.237767547, 7288184.476954276 20374584.237767547, 7287934.476954276 20375017.25046944, 7288184.476954276 20375450.26317133, 7288684.476954276 20375450.26317133))",EF_GR,Athens,1,1271.0,POINT (7288434.476954277 20375017.25046944),['Pireas'],7288434.476954277,20375017.25046944
13587,"POLYGON ((7308184.476954276 20391904.745843202, 7308434.476954276 20391471.73314131, 7308184.476954276 20391038.72043942, 7307684.476954276 20391038.72043942, 7307434.476954276 20391471.73314131, 7307684.476954276 20391904.745843202, 7308184.476954276 20391904.745843202))",EF_GR,Athens,1,878.0,POINT (7307934.476954277 20391471.733141314),,7307934.476954277,20391471.733141314
5132,"POLYGON ((7276684.476954276 20403163.076092377, 7276934.476954276 20402730.063390486, 7276684.476954276 20402297.050688595, 7276184.476954276 20402297.050688595, 7275934.476954276 20402730.063390486, 7276184.476954276 20403163.076092377, 7276684.476954276 20403163.076092377))",EF_GR,Athens,1,151.0,POINT (7276434.476954277 20402730.063390486),['Gerakas'],7276434.476954277,20402730.063390486
1837,"POLYGON ((5610750.284233368 19536798.216230687, 5611000.284233368 19536365.203528795, 5610750.284233368 19535932.190826904, 5610250.284233368 19535932.190826904, 5610000.284233368 19536365.203528795, 5610250.284233368 19536798.216230687, 5610750.284233368 19536798.216230687))",MJM_AT,Wien,1,5115.0,POINT (5610500.284233368 19536365.203528795),"['Wien [of]', 'Wien [of]']",5610500.284233368,19536365.203528795
2190,"POLYGON ((5615250.284233368 19542860.394057166, 5615500.284233368 19542427.381355274, 5615250.284233368 19541994.368653383, 5614750.284233368 19541994.368653383, 5614500.284233368 19542427.381355274, 5614750.284233368 19542860.394057166, 5615250.284233368 19542860.394057166))",MJM_AT,Wien,1,1625.0,POINT (5615000.284233368 19542427.381355274),"['Wien ost [3pl]', 'Wien [of]', 'Wien ost [3pl]', 'Wien [of]']",5615000.284233368,19542427.381355274
3044,"POLYGON ((5625750.284233368 19530736.038404208, 5626000.284233368 19530303.025702316, 5625750.284233368 19529870.013000425, 5625250.284233368 19529870.013000425, 5625000.284233368 19530303.025702316, 5625250.284233368 19530736.038404208, 5625750.284233368 19530736.038404208))",MJM_AT,Wien,1,70.0,POINT (5625500.284233368 19530303.025702316),,5625500.284233368,19530303.025702316
2444,"POLYGON ((5618250.284233368 19530736.038404208, 5618500.284233368 19530303.025702316, 5618250.284233368 19529870.013000425, 5617750.284233368 19529870.013000425, 5617500.284233368 19530303.025702316, 5617750.284233368 19530736.038404208, 5618250.284233368 19530736.038404208))",MJM_AT,Wien,1,551.0,POINT (5618000.284233367 19530303.025702316),,5618000.284233367,19530303.025702316
1842,"POLYGON ((5610750.284233368 19532468.089211773, 5611000.284233368 19532035.07650988, 5610750.284233368 19531602.06380799, 5610250.284233368 19531602.06380799, 5610000.284233368 19532035.07650988, 5610250.284233368 19532468.089211773, 5610750.284233368 19532468.089211773))",MJM_AT,Wien,1,2290.0,POINT (5610500.284233368 19532035.07650988),"['Wien [of]', 'Wien west [3pl]', 'Wien [of]', 'Wien west [3pl]']",5610500.284233368,19532035.07650988
1358,"POLYGON ((5604750.284233368 19535932.190826904, 5605000.284233368 19535499.178125013, 5604750.284233368 19535066.16542312, 5604250.284233368 19535066.16542312, 5604000.284233368 19535499.178125013, 5604250.284233368 19535932.190826904, 5604750.284233368 19535932.190826904))",MJM_AT,Wien,1,1636.0,POINT (5604500.284233367 19535499.178125013),,5604500.284233367,19535499.178125013
2135,"POLYGON ((5614500.284233368 19538963.279740144, 5614750.284233368 19538530.267038252, 5614500.284233368 19538097.25433636, 5614000.284233368 19538097.25433636, 5613750.284233368 19538530.267038252, 5614000.284233368 19538963.279740144, 5614500.284233368 19538963.279740144))",MJM_AT,Wien,1,2218.0,POINT (5614250.284233367 19538530.267038252),"['Wien sued [3pl]', 'Wien [of]', 'Wien [of]', 'Wien sued [3pl]']",5614250.284233367,19538530.267038252
14615,"POLYGON ((5735200.752478837 19800988.901481092, 5735450.752478837 19800555.8887792, 5735200.752478837 19800122.87607731, 5734700.752478837 19800122.87607731, 5734450.752478837 19800555.8887792, 5734700.752478837 19800988.901481092, 5735200.752478837 19800988.901481092))",NP_HU,Budapest,1,3608.0,POINT (5734950.752478837 19800555.8887792),"['Eszak-pest', 'Budapest', 'Buda']",5734950.752478837,19800555.8887792
16345,"POLYGON ((5740450.752478837 19799689.863375418, 5740700.752478837 19799256.850673527, 5740450.752478837 19798823.837971635, 5739950.752478837 19798823.837971635, 5739700.752478837 19799256.850673527, 5739950.752478837 19799689.863375418, 5740450.752478837 19799689.863375418))",NP_HU,Budapest,1,2164.0,POINT (5740200.752478837 19799256.850673523),"['Buda', 'Budapest']",5740200.752478837,19799256.850673523
12637,"POLYGON ((5729200.752478837 19802720.952288657, 5729450.752478837 19802287.939586766, 5729200.752478837 19801854.926884875, 5728700.752478837 19801854.926884875, 5728450.752478837 19802287.939586766, 5728700.752478837 19802720.952288657, 5729200.752478837 19802720.952288657))",NP_HU,Budapest,1,1673.0,POINT (5728950.752478837 19802287.93958677),"['Budapest', 'Eszak-pest']",5728950.752478837,19802287.93958677
16585,"POLYGON ((5741200.752478837 19806185.05390379, 5741450.752478837 19805752.041201897, 5741200.752478837 19805319.028500006, 5740700.752478837 19805319.028500006, 5740450.752478837 19805752.041201897, 5740700.752478837 19806185.05390379, 5741200.752478837 19806185.05390379))",NP_HU,Budapest,1,1656.0,POINT (5740950.752478837 19805752.041201897),"['Budapest', 'Del-pest']",5740950.752478837,19805752.041201897
14362,"POLYGON ((5734450.752478837 19805752.041201897, 5734700.752478837 19805319.028500006, 5734450.752478837 19804886.015798114, 5733950.752478837 19804886.015798114, 5733700.752478837 19805319.028500006, 5733950.752478837 19805752.041201897, 5734450.752478837 19805752.041201897))",NP_HU,Budapest,1,1479.0,POINT (5734200.752478838 19805319.028500002),"['Eszak-pest', 'Budapest']",5734200.752478838,19805319.028500002
18316,"POLYGON ((5746450.752478837 19804019.99039433, 5746700.752478837 19803586.97769244, 5746450.752478837 19803153.96499055, 5745950.752478837 19803153.96499055, 5745700.752478837 19803586.97769244, 5745950.752478837 19804019.99039433, 5746450.752478837 19804019.99039433))",NP_HU,Budapest,1,846.0,POINT (5746200.752478836 19803586.97769244),['Del-pest'],5746200.752478836,19803586.97769244
17582,"POLYGON ((5744200.752478837 19798390.825269744, 5744450.752478837 19797957.812567852, 5744200.752478837 19797524.79986596, 5743700.752478837 19797524.79986596, 5743450.752478837 19797957.812567852, 5743700.752478837 19798390.825269744, 5744200.752478837 19798390.825269744))",NP_HU,Budapest,1,1438.0,POINT (5743950.752478837 19797957.812567852),"['Buda', 'Del-buda']",5743950.752478837,19797957.812567852
12888,"POLYGON ((5729950.752478837 19798823.837971635, 5730200.752478837 19798390.825269744, 5729950.752478837 19797957.812567852, 5729450.752478837 19797957.812567852, 5729200.752478837 19798390.825269744, 5729450.752478837 19798823.837971635, 5729950.752478837 19798823.837971635))",NP_HU,Budapest,1,1995.0,POINT (5729700.752478837 19798390.825269744),"['Budapest', 'Buda', 'Eszak-buda']",5729700.752478837,19798390.825269744
16852,"POLYGON ((5741950.752478837 19788431.533126242, 5742200.752478837 19787998.52042435, 5741950.752478837 19787565.50772246, 5741450.752478837 19787565.50772246, 5741200.752478837 19787998.52042435, 5741450.752478837 19788431.533126242, 5741950.752478837 19788431.533126242))",NP_HU,Budapest,1,449.0,POINT (5741700.752478837 19787998.52042435),['Budaors'],5741700.752478837,19787998.52042435
16323,"POLYGON ((5740450.752478837 19818742.422258638, 5740700.752478837 19818309.409556746, 5740450.752478837 19817876.396854855, 5739950.752478837 19817876.396854855, 5739700.752478837 19818309.409556746, 5739950.752478837 19818742.422258638, 5740450.752478837 19818742.422258638))",NP_HU,Budapest,1,1090.0,POINT (5740200.752478837 19818309.409556746),['Pest 17 kerulet'],5740200.752478837,19818309.409556746
20807,"POLYGON ((5753950.752478837 19785833.456914894, 5754200.752478837 19785400.444213003, 5753950.752478837 19784967.43151111, 5753450.752478837 19784967.43151111, 5753200.752478837 19785400.444213003, 5753450.752478837 19785833.456914894, 5753950.752478837 19785833.456914894))",NP_HU,Budapest,1,381.0,POINT (5753700.752478837 19785400.444213003),['Del-buda'],5753700.752478837,19785400.444213003
10169,"POLYGON ((5721700.752478837 19800988.901481092, 5721950.752478837 19800555.8887792, 5721700.752478837 19800122.87607731, 5721200.752478837 19800122.87607731, 5720950.752478837 19800555.8887792, 5721200.752478837 19800988.901481092, 5721700.752478837 19800988.901481092))",NP_HU,Budapest,1,835.0,POINT (5721450.752478837 19800555.8887792),['Eszak-buda'],5721450.752478837,19800555.8887792
7937,"POLYGON ((5714950.752478837 19808350.117413245, 5715200.752478837 19807917.104711354, 5714950.752478837 19807484.092009462, 5714450.752478837 19807484.092009462, 5714200.752478837 19807917.104711354, 5714450.752478837 19808350.117413245, 5714950.752478837 19808350.117413245))",NP_HU,Budapest,1,168.0,POINT (5714700.752478835 19807917.104711358),['Dunakeszi'],5714700.752478835,19807917.104711358
19044,"POLYGON ((5748700.752478837 19815711.3333454, 5748950.752478837 19815278.320643507, 5748700.752478837 19814845.307941616, 5748200.752478837 19814845.307941616, 5747950.752478837 19815278.320643507, 5748200.752478837 19815711.3333454, 5748700.752478837 19815711.3333454))",NP_HU,Budapest,1,149.0,POINT (5748450.752478836 19815278.320643507),,5748450.752478836,19815278.320643507
10381,"POLYGON ((5722450.752478837 19830866.777911596, 5722700.752478837 19830433.765209705, 5722450.752478837 19830000.752507813, 5721950.752478837 19830000.752507813, 5721700.752478837 19830433.765209705, 5721950.752478837 19830866.777911596, 5722450.752478837 19830866.777911596))",NP_HU,Budapest,1,319.0,POINT (5722200.752478836 19830433.765209705),['Godollo'],5722200.752478836,19830433.765209705
6708,"POLYGON ((5711450.752478837 19803153.96499055, 5711200.752478837 19802720.952288657, 5710700.752478837 19802720.952288657, 5710450.752478837 19803153.96499055, 5710691.43320468 19803570.836236108, 5710992.7147314595 19803380.894564793, 5711333.445013498 19803234.77516895, 5711387.6359208925 19803263.286075708, 5711450.752478837 19803153.96499055))",NP_HU,Budapest,1,48.0,POINT (5710921.491406353 19803088.746126052),['Szentendre'],5710921.491406353,19803088.746126052
23018,"POLYGON ((5760700.752478837 19796658.77446218, 5760950.752478837 19796225.761760287, 5760700.752478837 19795792.749058396, 5760200.752478837 19795792.749058396, 5759950.752478837 19796225.761760287, 5760200.752478837 19796658.77446218, 5760700.752478837 19796658.77446218))",NP_HU,Budapest,1,41.0,POINT (5760450.752478837 19796225.76176029),['Szigetszentmiklos'],5760450.752478837,19796225.76176029
1760,"POLYGON ((5696200.752478837 19810515.180922702, 5696450.752478837 19810082.16822081, 5696200.752478837 19809649.15551892, 5695700.752478837 19809649.15551892, 5695450.752478837 19810082.16822081, 5695700.752478837 19810515.180922702, 5696200.752478837 19810515.180922702))",NP_HU,Budapest,1,274.0,POINT (5695950.752478837 19810082.16822081),['Vac'],5695950.752478837,19810082.16822081
10184,"POLYGON ((5721700.752478837 19787998.52042435, 5721950.752478837 19787565.50772246, 5721700.752478837 19787132.49502057, 5721200.752478837 19787132.49502057, 5720950.752478837 19787565.50772246, 5721200.752478837 19787998.52042435, 5721700.752478837 19787998.52042435))",NP_HU,Budapest,1,72.0,POINT (5721450.752478837 19787565.50772246),['Eszaki-agglomeracio'],5721450.752478837,19787565.50772246
3385,"POLYGON ((4090100.358851974 19802321.503816754, 4090350.358851974 19801888.491114862, 4090100.358851974 19801455.47841297, 4089600.358851974 19801455.47841297, 4089350.358851974 19801888.491114862, 4089600.358851974 19802321.503816754, 4090100.358851974 19802321.503816754))",OP_SE,Stockholm,10,5077.0,POINT (4089850.3588519744 19801888.491114862),['Stockholm'],4089850.3588519744,19801888.491114862
3080,"POLYGON ((4086350.358851974 19798424.38949973, 4086600.358851974 19797991.37679784, 4086350.358851974 19797558.36409595, 4085850.358851974 19797558.36409595, 4085600.358851974 19797991.37679784, 4085850.358851974 19798424.38949973, 4086350.358851974 19798424.38949973))",OP_SE,Stockholm,10,2012.0,POINT (4086100.3588519744 19797991.37679784),['Bromma'],4086100.3588519744,19797991.37679784
4191,"POLYGON ((4099850.358851974 19802754.516518645, 4100100.358851974 19802321.503816754, 4099850.358851974 19801888.491114862, 4099350.358851974 19801888.491114862, 4099100.358851974 19802321.503816754, 4099350.358851974 19802754.516518645, 4099850.358851974 19802754.516518645))",OP_SE,Stockholm,10,1019.0,POINT (4099600.3588519744 19802321.503816754),['Enskede'],4099600.3588519744,19802321.503816754
3148,"POLYGON ((4087100.358851974 19792795.224375144, 4087350.358851974 19792362.211673252, 4087100.358851974 19791929.19897136, 4086600.358851974 19791929.19897136, 4086350.358851974 19792362.211673252, 4086600.358851974 19792795.224375144, 4087100.358851974 19792795.224375144))",OP_SE,Stockholm,10,1388.0,POINT (4086850.358851974 19792362.211673252),['Bromma'],4086850.358851974,19792362.211673252
2390,"POLYGON ((4078100.358851974 19804919.5800281, 4078350.358851974 19804486.56732621, 4078100.358851974 19804053.55462432, 4077600.358851974 19804053.55462432, 4077350.358851974 19804486.56732621, 4077600.358851974 19804919.5800281, 4078100.358851974 19804919.5800281))",OP_SE,Stockholm,10,381.0,POINT (4077850.3588519744 19804486.56732621),['Danderyd'],4077850.3588519744,19804486.56732621
